,0
num_nodes,10.0
avg_degree,4.0
frac_directed,0.6
degree_variance,0.2
num_samples,500.0
beta_low,0.5
beta_high,2.0
omega_offdiag_low,0.4
omega_offdiag_high,0.7
omega_diag_low,0.7
omega_diag_high,1.2
standardize_data,0.0
center_data,1.0
steps_per_env,2000.0
n_envs,8.0
normalize_advantage,1.0
n_epochs,1.0
n_steps,16.0
ent_coef,0.05
dcd_num_restarts,1.0
relcadilac_time_sec,51.70896383459986
gfci_time_sec,0.2541200575999028
dcd_time_sec,58.87232026639977
dcd_pag_metrics_tail_tpr,0.6880952380952381
dcd_pag_metrics_tail_fdr,0.40333333333333343
dcd_pag_metrics_tail_f1,0.6346405228758171
dcd_pag_metrics_head_tpr,0.5039830345093502
dcd_pag_metrics_head_fdr,0.1594871794871795
dcd_pag_metrics_head_f1,0.6209335038363171
dcd_pag_metrics_circle_tpr,0.6380952380952382
dcd_pag_metrics_circle_fdr,0.49469696969696975
dcd_pag_metrics_circle_f1,0.5515339732731037
dcd_pag_metrics_skeleton_f1,0.7994949494949495
dcd_pag_metrics_skeleton_tpr,0.7549603174603174
dcd_pag_metrics_skeleton_fdr,0.14835421888053466
dcd_admg_metrics_skeleton_tpr,0.5834259259259259
dcd_admg_metrics_skeleton_fdr,0.22101010101010102
dcd_admg_metrics_skeleton_f1,0.6623240587526301
dcd_admg_metrics_admg_tpr,0.5323412698412697
dcd_admg_metrics_admg_fdr,0.40066833751044273
dcd_admg_metrics_admg_f1,0.5632323232323233
dcd_admg_metrics_admg_shd,14.6
gfci_pag_metrics_tail_tpr,0.05714285714285714
gfci_pag_metrics_tail_fdr,0.8666666666666668
gfci_pag_metrics_tail_f1,0.08
gfci_pag_metrics_head_tpr,0.23519953730480045
gfci_pag_metrics_head_fdr,0.24333333333333335
gfci_pag_metrics_head_f1,0.35422222222222216
gfci_pag_metrics_circle_tpr,0.3952380952380953
gfci_pag_metrics_circle_fdr,0.7706349206349207
gfci_pag_metrics_circle_f1,0.2772875816993464
gfci_pag_metrics_skeleton_f1,0.7180128205128204
gfci_pag_metrics_skeleton_tpr,0.5630952380952381
gfci_pag_metrics_skeleton_fdr,0.0
relcadilac_pag_metrics_tail_tpr,0.6186507936507937
relcadilac_pag_metrics_tail_fdr,0.7299521531100479
relcadilac_pag_metrics_tail_f1,0.371301247771836
relcadilac_pag_metrics_head_tpr,0.5421785232311548
relcadilac_pag_metrics_head_fdr,0.5593028454921039
relcadilac_pag_metrics_head_f1,0.4758902867508482
relcadilac_pag_metrics_circle_tpr,0.31619047619047624
relcadilac_pag_metrics_circle_fdr,0.8301587301587301
relcadilac_pag_metrics_circle_f1,0.20285714285714285
relcadilac_pag_metrics_skeleton_f1,0.6773998488284202
relcadilac_pag_metrics_skeleton_tpr,0.8863095238095238
relcadilac_pag_metrics_skeleton_fdr,0.44882060436057636
relcadilac_admg_metrics_skeleton_tpr,0.6112770562770563
relcadilac_admg_metrics_skeleton_fdr,0.542571265512442
relcadilac_admg_metrics_skeleton_f1,0.5165549543729305
relcadilac_admg_metrics_admg_tpr,0.5599206349206349
relcadilac_admg_metrics_admg_fdr,0.6543989087116717
relcadilac_admg_metrics_admg_f1,0.4263643235071807
relcadilac_admg_metrics_admg_shd,24.8
vec_envs_random_state,0.0
